pearson_r_cam_vs_cold,high_cam_px,iou_vs_coldest,iou_expected_by_chance,cam_peak_row,cam_peak_col,coldest_row,coldest_col,peak_to_coldest_dist_px,storm_id,storm_name,timestamp,wind_kt,is_interpolated
-0.30221341000019225,11724,0.036650603474954684,0.1322832513426908,0,186,118,68,166.87720036002523,AL092022,IAN,2022-09-22T18:00:00+00:00,30.0,False
-0.308666048369254,3889,0.0,0.040315976073727756,0,223,109,79,180.60177186284747,AL092022,IAN,2022-09-22T19:00:00+00:00,30.0,True
-0.37471640673658746,5244,0.0,0.05513731757580856,0,223,122,65,199.61963831246663,AL092022,IAN,2022-09-22T20:00:00+00:00,30.0,True
-0.3862178550878149,2529,0.0,0.02585281579996524,0,223,131,58,210.67985190805504,AL092022,IAN,2022-09-22T21:00:00+00:00,30.0,True
-0.3168016964602846,7373,0.0022429144294161627,0.07929747577409953,0,223,124,83,187.01871564097536,AL092022,IAN,2022-09-22T22:00:00+00:00,30.0,True
-0.26673914668968696,10633,0.051366984723389526,0.11851447296559257,0,223,127,80,191.25375813301028,AL092022,IAN,2022-09-22T23:00:00+00:00,30.0,True
-0.27555927713325495,7002,0.0008576329331046312,0.07500803427959293,0,184,116,76,158.4929020492716,AL092022,IAN,2022-09-23T00:00:00+00:00,30.0,False
-0.1925102179436769,13692,0.059834352504063784,0.1579967689822294,223,223,108,65,195.420060382756,AL092022,IAN,2022-09-23T01:00:00+00:00,30.0,True
-0.03894506139906154,6122,0.043196728295135045,0.06496869362198875,0,223,118,77,187.72320048411703,AL092022,IAN,2022-09-23T02:00:00+00:00,30.0,True
-0.3525148313219799,12520,0.0008793668558637781,0.14254485836597142,176,176,132,52,131.5750736271882,AL092022,IAN,2022-09-23T03:00:00+00:00,30.0,True
-0.308534157795094,8430,0.0014255167498218105,0.09170818737625377,0,223,112,67,192.04166214652486,AL092022,IAN,2022-09-23T04:00:00+00:00,30.0,True
-0.33243394813653954,13071,0.035736925515055466,0.14975767921999059,0,223,107,73,184.25254408012933,AL092022,IAN,2022-09-23T05:00:00+00:00,30.0,True
-0.14047139641928624,10215,0.06478344712565799,0.11332749037576134,0,223,110,70,188.43831882077487,AL092022,IAN,2022-09-23T06:00:00+00:00,30.0,False
-0.22465782221689404,20138,0.18857345216313523,0.2510534320692148,176,44,106,82,79.64923100695951,AL092022,IAN,2022-09-23T07:00:00+00:00,30.0,True
-0.3663915268084635,14391,0.0379746835443038,0.16741312920975793,0,81,108,70,108.55873986004075,AL092022,IAN,2022-09-23T08:00:00+00:00,30.0,True
-0.2976346309247882,15306,0.07106119449984255,0.17997319097899958,223,223,107,29,226.03539545832197,AL092022,IAN,2022-09-23T09:00:00+00:00,30.0,True
-0.23906331434037717,16429,0.10856950067476383,0.19576278255067145,178,223,101,55,184.8053029542172,AL092022,IAN,2022-09-23T10:00:00+00:00,30.0,True
-0.4004100377172148,6340,0.0,0.06743819937880272,0,223,96,53,195.2331938989884,AL092022,IAN,2022-09-23T11:00:00+00:00,30.0,True
-0.3655740583256564,11900,0.021546913898188684,0.13453624564735675,41,43,102,57,62.5859409132754,AL092022,IAN,2022-09-23T12:00:00+00:00,30.0,False
-0.3215368264327776,10798,0.032510996366418056,0.12057529535252473,0,223,113,21,231.4584195919431,AL092022,IAN,2022-09-23T13:00:00+00:00,30.0,True
-0.38266174805053965,9395,0.013320390443833253,0.10329056587178559,174,180,105,22,172.40939649566667,AL092022,IAN,2022-09-23T14:00:00+00:00,30.0,True
-0.30389316971054237,9354,0.0071059431524547806,0.10279346798830744,0,223,79,42,197.48924021323288,AL092022,IAN,2022-09-23T15:00:00+00:00,30.0,True
-0.31475197577261177,7325,0.0005463734462505122,0.07874058069162715,0,223,98,71,180.8535318980528,AL092022,IAN,2022-09-23T16:00:00+00:00,30.0,True
-0.3525727823267897,6848,0.0,0.0732375085557837,223,223,84,37,232.2003445303215,AL092022,IAN,2022-09-23T17:00:00+00:00,30.0,True
-0.24389296736049929,7705,0.006794721024434862,0.08316513216833789,223,223,93,78,194.74342094150447,AL092022,IAN,2022-09-23T18:00:00+00:00,30.0,False
-0.2958038599480666,10699,0.037378193629708636,0.11933789164891305,223,223,89,83,193.7937047481161,AL092022,IAN,2022-09-23T19:00:00+00:00,30.83333333333333,True
-0.35025669746120314,13026,0.0684931506849315,0.1491651970776172,173,177,72,31,177.53027910753704,AL092022,IAN,2022-09-23T20:00:00+00:00,31.666666666666668,True
-0.31414110463067085,14915,0.08393895348837209,0.1745730772381989,173,176,84,88,125.15989773086265,AL092022,IAN,2022-09-23T21:00:00+00:00,32.5,True
-0.3051355151415734,12982,0.06235679214402619,0.1485864713288314,223,223,80,91,194.60986614249546,AL092022,IAN,2022-09-23T22:00:00+00:00,33.333333333333336,True
-0.18440690234169835,15905,0.11688494083775149,0.18834298435705238,0,223,79,91,153.83432646844463,AL092022,IAN,2022-09-23T23:00:00+00:00,34.166666666666664,True
-0.20070125192996247,13236,0.0966940094456873,0.15193535056706,223,223,97,80,190.59118552545917,AL092022,IAN,2022-09-24T00:00:00+00:00,35.0,False
-0.22250223799004243,11891,0.06684012201686704,0.1344208182136761,223,223,93,50,216.40009242142204,AL092022,IAN,2022-09-24T01:00:00+00:00,35.0,True
-0.23940731783622873,13575,0.047009371023099766,0.1564354610092536,0,223,109,50,204.47493733951845,AL092022,IAN,2022-09-24T02:00:00+00:00,35.0,True
-0.24725391687760861,12354,0.05185185185185185,0.14038955430805244,0,223,129,50,215.8008341040414,AL092022,IAN,2022-09-24T03:00:00+00:00,35.0,True
-0.17666623100233889,8151,0.0,0.08840468107721175,0,223,102,31,217.41205118392128,AL092022,IAN,2022-09-24T04:00:00+00:00,35.0,True
-0.19766352039177568,13473,0.059531299150676315,0.15507775181574374,0,223,85,30,210.8885961829136,AL092022,IAN,2022-09-24T05:00:00+00:00,35.0,True
-0.4289133026727571,14781,0.052515398582974326,0.17273375325752885,0,223,108,21,229.0589443789524,AL092022,IAN,2022-09-24T06:00:00+00:00,35.0,False
-0.3039403462987801,9030,0.03176416819012797,0.09888088302928101,0,223,104,74,181.70580618131055,AL092022,IAN,2022-09-24T07:00:00+00:00,35.833333333333336,True
-0.4320924191002995,12684,0.04956557716177079,0.1446822101564995,0,223,77,64,176.6635219845908,AL092022,IAN,2022-09-24T08:00:00+00:00,36.66666666666666,True
-0.4416124765847064,16339,0.0849269588313413,0.19448180638710674,0,223,122,142,146.44111444536333,AL092022,IAN,2022-09-24T09:00:00+00:00,37.5,True
-0.4560034224757076,13545,0.04000307125307125,0.1560358035642287,173,171,76,18,181.1573901335521,AL092022,IAN,2022-09-24T10:00:00+00:00,38.333333333333336,True
-0.35793024273639745,14652,0.09851551956815115,0.17096849474912482,175,172,82,29,170.5813588877753,AL092022,IAN,2022-09-24T11:00:00+00:00,39.16666666666666,True
-0.18310114324834348,12975,0.10369173188159238,0.14849445506254505,173,170,117,95,93.60021367496978,AL092022,IAN,2022-09-24T12:00:00+00:00,40.0,False
-0.5065090053288406,11819,0.019978425026968716,0.13349824359278462,174,175,117,100,94.2019108086455,AL092022,IAN,2022-09-24T13:00:00+00:00,40.0,True
-0.4732012806282116,16927,0.11710938788978717,0.202900809109979,173,170,81,40,159.26079241294764,AL092022,IAN,2022-09-24T14:00:00+00:00,40.0,True
-0.5409470249585988,12822,0.045200733645812105,0.1464869187707072,174,175,143,99,82.0792300158816,AL092022,IAN,2022-09-24T15:00:00+00:00,40.0,True
-0.394898226707805,26583,0.277015828789662,0.3603546205045479,168,170,137,108,69.31810730249349,AL092022,IAN,2022-09-24T16:00:00+00:00,40.0,True
-0.27577959731436585,18727,0.13918121540239675,0.229427258805513,172,167,89,79,120.96693763173474,AL092022,IAN,2022-09-24T17:00:00+00:00,40.0,True
-0.31419503859698017,16601,0.09220698049277937,0.19821852873398527,53,181,62,93,88.45903006477066,AL092022,IAN,2022-09-24T18:00:00+00:00,40.0,False
-0.2184654112807793,18307,0.14979273960557718,0.22313364616978487,174,169,68,65,148.49915824677257,AL092022,IAN,2022-09-24T19:00:00+00:00,40.0,True
-0.31395341586355646,24106,0.20560140035008753,0.31616084778217873,173,169,50,63,162.3730273167314,AL092022,IAN,2022-09-24T20:00:00+00:00,40.0,True
-0.2919368884163684,23857,0.21775304986983818,0.31187659324138833,46,176,64,50,127.27922061357856,AL092022,IAN,2022-09-24T21:00:00+00:00,40.0,True
-0.08613217526891688,24822,0.3072122600521368,0.32863762743280817,46,179,100,41,148.18906842274163,AL092022,IAN,2022-09-24T22:00:00+00:00,40.0,True
-0.08631977995594615,18215,0.1503362910101361,0.22176363879859262,46,177,73,124,59.481089431852205,AL092022,IAN,2022-09-24T23:00:00+00:00,40.0,True
-0.006795882540473552,17531,0.15842336538143853,0.21167336786563792,0,81,57,116,66.88796603276258,AL092022,IAN,2022-09-25T00:00:00+00:00,40.0,False
-0.014888282158520519,18244,0.2162261257958068,0.22219515759731087,0,144,65,115,71.17583859709698,AL092022,IAN,2022-09-25T01:00:00+00:00,40.0,True
0.06995581167552745,20996,0.30393739908085954,0.2645798679368919,0,223,107,121,147.82760229402356,AL092022,IAN,2022-09-25T02:00:00+00:00,40.0,True
-0.11395184169629301,12636,0.14498006524102935,0.14405581649870033,0,86,79,118,85.23496934944014,AL092022,IAN,2022-09-25T03:00:00+00:00,40.0,True
-0.08617374766940979,12684,0.1811155601080175,0.1446822101564995,42,47,41,81,34.0147027033899,AL092022,IAN,2022-09-25T04:00:00+00:00,40.0,True
-0.21748348023080388,21778,0.19514872132586983,0.27716547458446816,44,46,20,91,51.0,AL092022,IAN,2022-09-25T05:00:00+00:00,40.0,True
-0.06029568348477124,26311,0.31096163428001994,0.3553571669750544,0,173,26,78,98.49365461794989,AL092022,IAN,2022-09-25T06:00:00+00:00,40.0,False
0.09009934256286133,9193,0.16014639071176173,0.10084577496462224,0,55,215,98,219.25783908448975,AL092022,IAN,2022-09-25T07:00:00+00:00,40.0,True
0.1464943608751031,13875,0.2831183243168262,0.16044728656174473,0,53,197,137,214.1611542740653,AL092022,IAN,2022-09-25T08:00:00+00:00,40.0,True
0.09545620653297458,17723,0.24695701118694152,0.21448885984339638,0,83,19,210,128.41339493993607,AL092022,IAN,2022-09-25T09:00:00+00:00,40.0,True
0.137193242511234,21748,0.38942660916786453,0.27667803165233323,117,181,13,117,122.11470017978998,AL092022,IAN,2022-09-25T10:00:00+00:00,40.0,True
