r_lo_px,r_hi_px,mean_cam,mass_frac,n_px,stem,storm_id,timestamp,truth_kt,pred_kt
0,14,0.9583770036697388,0.0384080298244953,616,AL022024_20240701T1800Z,AL022024,2024-07-01T18:00:00+00:00,130.0,131.93780481815338
14,28,0.8709068894386292,0.1051609814167022,1856,AL022024_20240701T1800Z,AL022024,2024-07-01T18:00:00+00:00,130.0,131.93780481815338
28,42,0.7393292784690857,0.1477624326944351,3072,AL022024_20240701T1800Z,AL022024,2024-07-01T18:00:00+00:00,130.0,131.93780481815338
42,56,0.5552399754524231,0.1557630449533462,4312,AL022024_20240701T1800Z,AL022024,2024-07-01T18:00:00+00:00,130.0,131.93780481815338
56,70,0.3709618151187897,0.1333177089691162,5524,AL022024_20240701T1800Z,AL022024,2024-07-01T18:00:00+00:00,130.0,131.93780481815338
70,84,0.2580573856830597,0.1140299513936042,6792,AL022024_20240701T1800Z,AL022024,2024-07-01T18:00:00+00:00,130.0,131.93780481815338
84,98,0.2005484402179718,0.104379266500473,8000,AL022024_20240701T1800Z,AL022024,2024-07-01T18:00:00+00:00,130.0,131.93780481815338
98,112,0.1657573729753494,0.0998162254691124,9256,AL022024_20240701T1800Z,AL022024,2024-07-01T18:00:00+00:00,130.0,131.93780481815338
112,158,0.1449586600065231,0.1013623774051666,10748,AL022024_20240701T1800Z,AL022024,2024-07-01T18:00:00+00:00,130.0,131.93780481815338
0,14,0.9072838425636292,0.02857949398458,616,AL022024_20240702T0945Z,AL022024,2024-07-02T09:45:00+00:00,145.0,114.0060144662857
14,28,0.852242112159729,0.0808856710791587,1856,AL022024_20240702T0945Z,AL022024,2024-07-02T09:45:00+00:00,145.0,114.0060144662857
28,42,0.7608039379119873,0.1195156052708625,3072,AL022024_20240702T0945Z,AL022024,2024-07-02T09:45:00+00:00,145.0,114.0060144662857
42,56,0.6186591386795044,0.1364145874977111,4312,AL022024_20240702T0945Z,AL022024,2024-07-02T09:45:00+00:00,145.0,114.0060144662857
56,70,0.4734484553337097,0.1337386816740036,5524,AL022024_20240702T0945Z,AL022024,2024-07-02T09:45:00+00:00,145.0,114.0060144662857
70,84,0.3822656869888305,0.1327680796384811,6792,AL022024_20240702T0945Z,AL022024,2024-07-02T09:45:00+00:00,145.0,114.0060144662857
84,98,0.3227893710136413,0.1320504397153854,8000,AL022024_20240702T0945Z,AL022024,2024-07-02T09:45:00+00:00,145.0,114.0060144662857
98,112,0.2707866132259369,0.1281684637069702,9256,AL022024_20240702T0945Z,AL022024,2024-07-02T09:45:00+00:00,145.0,114.0060144662857
112,158,0.1962811648845672,0.1078789979219436,10748,AL022024_20240702T0945Z,AL022024,2024-07-02T09:45:00+00:00,145.0,114.0060144662857
0,14,0.0,0.0,616,AL092022_20220922T1800Z,AL092022,2022-09-22T18:00:00+00:00,30.0,21.53433971107006
14,28,0.0008143954910337,0.0001085272015188,1856,AL092022_20220922T1800Z,AL092022,2022-09-22T18:00:00+00:00,30.0,21.53433971107006
28,42,0.0145392222329974,0.0032069166190922,3072,AL092022_20220922T1800Z,AL092022,2022-09-22T18:00:00+00:00,30.0,21.53433971107006
42,56,0.0603123158216476,0.0186728257685899,4312,AL092022_20220922T1800Z,AL092022,2022-09-22T18:00:00+00:00,30.0,21.53433971107006
56,70,0.1385388523340225,0.0549478307366371,5524,AL092022_20220922T1800Z,AL092022,2022-09-22T18:00:00+00:00,30.0,21.53433971107006
70,84,0.245476484298706,0.11971066147089,6792,AL092022_20220922T1800Z,AL092022,2022-09-22T18:00:00+00:00,30.0,21.53433971107006
84,98,0.3458102941513061,0.1986338198184967,8000,AL092022_20220922T1800Z,AL092022,2022-09-22T18:00:00+00:00,30.0,21.53433971107006
98,112,0.3976220488548279,0.2642524838447571,9256,AL092022_20220922T1800Z,AL092022,2022-09-22T18:00:00+00:00,30.0,21.53433971107006
112,158,0.4411862194538116,0.3404668867588043,10748,AL092022_20220922T1800Z,AL092022,2022-09-22T18:00:00+00:00,30.0,21.53433971107006
0,14,0.8487396240234375,0.0207889527082443,616,AL092022_20220927T0000Z,AL092022,2022-09-27T00:00:00+00:00,85.0,93.2573026418686
14,28,0.7849666476249695,0.0579304099082946,1856,AL092022_20220927T0000Z,AL092022,2022-09-27T00:00:00+00:00,85.0,93.2573026418686
28,42,0.7114996314048767,0.0869107097387313,3072,AL092022_20220927T0000Z,AL092022,2022-09-27T00:00:00+00:00,85.0,93.2573026418686
42,56,0.6485725045204163,0.1112025380134582,4312,AL092022_20220927T0000Z,AL092022,2022-09-27T00:00:00+00:00,85.0,93.2573026418686
56,70,0.5985349416732788,0.1314681619405746,5524,AL092022_20220927T0000Z,AL092022,2022-09-27T00:00:00+00:00,85.0,93.2573026418686
70,84,0.5462141633033752,0.1475156247615814,6792,AL092022_20220927T0000Z,AL092022,2022-09-27T00:00:00+00:00,85.0,93.2573026418686
